Factor Name,Correlation Coefficient
poverty rate %,-0.5158634539633472
median home value,0.46456780796984165
walked to work %,0.44882537299937686
avg distance to public transit,-0.4095661846496107
car drove to work %,-0.3936359688018969
unemployment rate %,-0.3725644894875264
